State,Dates,cases,deaths,population,new_cases,new_deaths
CA,2022-12-11,10721202,96808,39512223,0.0,0.0
CA,2022-12-12,10721202,96808,39512223,0.0,0.0
CA,2022-12-13,10721202,96808,39512223,0.0,0.0
CA,2022-12-14,10785330,97012,39512223,64128.0,204.0
CA,2022-12-15,10785330,97012,39512223,0.0,0.0
CA,2022-12-16,10785330,97012,39512223,0.0,0.0
CA,2022-12-17,10785330,97012,39512223,0.0,0.0
CA,2022-12-18,10785330,97012,39512223,0.0,0.0
CA,2022-12-19,10841648,97523,39512223,56318.0,511.0
CA,2022-12-20,10850562,97531,39512223,8914.0,8.0
CA,2022-12-21,10858667,97541,39512223,8105.0,10.0
CA,2022-12-22,10865702,97556,39512223,7035.0,15.0
CA,2022-12-23,10871873,97561,39512223,6171.0,5.0
CA,2022-12-24,10877267,97562,39512223,5394.0,1.0
CA,2022-12-25,10879953,97562,39512223,2686.0,0.0
CA,2022-12-26,10881480,97562,39512223,1527.0,0.0
CA,2022-12-27,10883092,97562,39512223,1612.0,0.0
CA,2022-12-28,10883092,97562,39512223,0.0,0.0
CA,2022-12-29,10883092,97562,39512223,0.0,0.0
CA,2022-12-30,10883092,97562,39512223,0.0,0.0
CA,2022-12-31,10883092,97562,39512223,0.0,0.0
CA,2023-01-01,10883092,97562,39512223,0.0,0.0
CA,2023-01-02,10883092,97562,39512223,0.0,0.0
NC,2022-05-30,2744935,24644,10488084,0.0,0.0
NC,2022-05-31,2744935,24644,10488084,0.0,0.0
NC,2022-06-01,2772725,24653,10488084,27790.0,9.0
NC,2022-06-02,2772725,24653,10488084,0.0,0.0
NC,2022-06-03,2772725,24653,10488084,0.0,0.0
NC,2022-06-04,2772725,24653,10488084,0.0,0.0
NC,2022-06-05,2772725,24653,10488084,0.0,0.0
NC,2022-06-06,2772725,24653,10488084,0.0,0.0
NC,2022-06-07,2772725,24653,10488084,0.0,0.0
NC,2022-06-08,2799515,25094,10488084,26790.0,441.0
NC,2022-06-09,2799515,25094,10488084,0.0,0.0
NC,2022-06-10,2799515,25094,10488084,0.0,0.0
NC,2022-06-11,2799515,25094,10488084,0.0,0.0
NC,2022-06-12,2799515,25094,10488084,0.0,0.0
NC,2022-06-13,2799515,25094,10488084,0.0,0.0
NC,2022-06-14,2799515,25094,10488084,0.0,0.0
NC,2022-06-15,2823979,25140,10488084,24464.0,46.0
NC,2022-06-16,2823979,25140,10488084,0.0,0.0
NC,2022-06-17,2823979,25140,10488084,0.0,0.0
NC,2022-06-18,2823979,25140,10488084,0.0,0.0
NC,2022-06-19,2823979,25140,10488084,0.0,0.0
NC,2022-06-20,2823979,25140,10488084,0.0,0.0
NC,2022-06-21,2823979,25140,10488084,0.0,0.0
NC,2022-06-22,2843077,25151,10488084,19098.0,11.0
NC,2022-06-23,2843077,25151,10488084,0.0,0.0
NC,2022-06-24,2843077,25151,10488084,0.0,0.0
NC,2022-06-25,2843077,25151,10488084,0.0,0.0
NC,2022-06-26,2843077,25151,10488084,0.0,0.0
NC,2022-06-27,2843077,25151,10488084,0.0,0.0
NC,2022-06-28,2843077,25151,10488084,0.0,0.0
NC,2022-06-29,2867218,25209,10488084,24141.0,58.0
NC,2022-06-30,2867218,25209,10488084,0.0,0.0
NC,2022-07-01,2867218,25209,10488084,0.0,0.0
NC,2022-07-02,2867218,25209,10488084,0.0,0.0
NC,2022-07-03,2867218,25209,10488084,0.0,0.0
NC,2022-07-04,2867218,25209,10488084,0.0,0.0
NC,2022-07-05,2867218,25209,10488084,0.0,0.0
NC,2022-07-06,2892680,25257,10488084,25462.0,48.0
NC,2022-07-07,2892680,25257,10488084,0.0,0.0
NC,2022-07-08,2892680,25257,10488084,0.0,0.0
NC,2022-07-09,2892680,25257,10488084,0.0,0.0
NC,2022-07-10,2892680,25257,10488084,0.0,0.0
NC,2022-07-11,2892680,25257,10488084,0.0,0.0
NC,2022-07-12,2892680,25257,10488084,0.0,0.0
NC,2022-07-13,2919067,25395,10488084,26387.0,138.0
NC,2022-07-14,2919067,25395,10488084,0.0,0.0
NC,2022-07-15,2919067,25395,10488084,0.0,0.0
NC,2022-07-16,2919067,25395,10488084,0.0,0.0
NC,2022-07-17,2919067,25395,10488084,0.0,0.0
NC,2022-07-18,2919067,25395,10488084,0.0,0.0
NC,2022-07-19,2919067,25395,10488084,0.0,0.0
NC,2022-07-20,2949198,25435,10488084,30131.0,40.0
NC,2022-07-21,2949198,25435,10488084,0.0,0.0
NC,2022-07-22,2949198,25435,10488084,0.0,0.0
NC,2022-07-23,2949198,25435,10488084,0.0,0.0
NC,2022-07-24,2949198,25435,10488084,0.0,0.0
NC,2022-07-25,2949198,25435,10488084,0.0,0.0
NC,2022-07-26,2949198,25435,10488084,0.0,0.0
NC,2022-07-27,2983130,25483,10488084,33932.0,48.0
NC,2022-07-28,2983130,25483,10488084,0.0,0.0
NC,2022-07-29,2983130,25483,10488084,0.0,0.0
NC,2022-07-30,2983130,25483,10488084,0.0,0.0
NC,2022-07-31,2983130,25483,10488084,0.0,0.0
NC,2022-08-01,2983130,25483,10488084,0.0,0.0
NC,2022-08-02,2983130,25483,10488084,0.0,0.0
NC,2022-08-03,3016395,25687,10488084,33265.0,204.0
NC,2022-08-04,3016395,25687,10488084,0.0,0.0
NC,2022-08-05,3016395,25687,10488084,0.0,0.0
NC,2022-08-06,3016395,25687,10488084,0.0,0.0
NC,2022-08-07,3016395,25687,10488084,0.0,0.0
NC,2022-08-08,3016395,25687,10488084,0.0,0.0
NC,2022-08-09,3016395,25687,10488084,0.0,0.0
NC,2022-08-10,3047625,25724,10488084,31230.0,37.0
NC,2022-08-11,3047625,25724,10488084,0.0,0.0
NC,2022-08-12,3047625,25724,10488084,0.0,0.0
NC,2022-08-13,3047625,25724,10488084,0.0,0.0
NC,2022-08-14,3047625,25724,10488084,0.0,0.0
NC,2022-08-15,3047625,25724,10488084,0.0,0.0
NC,2022-08-16,3047625,25724,10488084,0.0,0.0
NC,2022-08-17,3074964,25760,10488084,27339.0,36.0
NC,2022-08-18,3074964,25760,10488084,0.0,0.0
NC,2022-08-19,3074964,25760,10488084,0.0,0.0
NC,2022-08-20,3074964,25760,10488084,0.0,0.0
NC,2022-08-21,3074964,25760,10488084,0.0,0.0
NC,2022-08-22,3074964,25760,10488084,0.0,0.0
NC,2022-08-23,3074964,25760,10488084,0.0,0.0
NC,2022-08-24,3098923,25843,10488084,23959.0,83.0
NC,2022-08-25,3098923,25843,10488084,0.0,0.0
NC,2022-08-26,3098923,25843,10488084,0.0,0.0
NC,2022-08-27,3098923,25843,10488084,0.0,0.0
NC,2022-08-28,3098923,25843,10488084,0.0,0.0
NC,2022-08-29,3098923,25843,10488084,0.0,0.0
NC,2022-08-30,3098923,25843,10488084,0.0,0.0
NC,2022-08-31,3120821,26335,10488084,21898.0,492.0
NC,2022-09-01,3120821,26335,10488084,0.0,0.0
NC,2022-09-02,3120821,26335,10488084,0.0,0.0
NC,2022-09-03,3120821,26335,10488084,0.0,0.0
NC,2022-09-04,3120821,26335,10488084,0.0,0.0
NC,2022-09-05,3120821,26335,10488084,0.0,0.0
NC,2022-09-06,3120821,26335,10488084,0.0,0.0
NC,2022-09-07,3141302,26365,10488084,20481.0,30.0
NC,2022-09-08,3141302,26365,10488084,0.0,0.0
NC,2022-09-09,3141302,26365,10488084,0.0,0.0
NC,2022-09-10,3141302,26365,10488084,0.0,0.0
NC,2022-09-11,3141302,26365,10488084,0.0,0.0
NC,2022-09-12,3141302,26365,10488084,0.0,0.0
NC,2022-09-13,3141302,26365,10488084,0.0,0.0
NC,2022-09-14,3162491,26414,10488084,21189.0,49.0
NC,2022-09-15,3162491,26414,10488084,0.0,0.0
NC,2022-09-16,3162491,26414,10488084,0.0,0.0
NC,2022-09-17,3162491,26414,10488084,0.0,0.0
NC,2022-09-18,3162491,26414,10488084,0.0,0.0
NC,2022-09-19,3162491,26414,10488084,0.0,0.0
NC,2022-09-20,3162491,26414,10488084,0.0,0.0
NC,2022-09-21,3182775,26458,10488084,20284.0,44.0
NC,2022-09-22,3182775,26458,10488084,0.0,0.0
NC,2022-09-23,3182775,26458,10488084,0.0,0.0
NC,2022-09-24,3182775,26458,10488084,0.0,0.0
NC,2022-09-25,3182775,26458,10488084,0.0,0.0
NC,2022-09-26,3182775,26458,10488084,0.0,0.0
NC,2022-09-27,3182775,26458,10488084,0.0,0.0
NC,2022-09-28,3198866,26525,10488084,16091.0,67.0
NC,2022-09-29,3198866,26525,10488084,0.0,0.0
NC,2022-09-30,3198866,26525,10488084,0.0,0.0
NC,2022-10-01,3198866,26525,10488084,0.0,0.0
NC,2022-10-02,3198866,26525,10488084,0.0,0.0
NC,2022-10-03,3198866,26525,10488084,0.0,0.0
NC,2022-10-04,3198866,26525,10488084,0.0,0.0
NC,2022-10-05,3210837,26852,10488084,11971.0,327.0
NC,2022-10-06,3210837,26852,10488084,0.0,0.0
NC,2022-10-07,3210837,26852,10488084,0.0,0.0
NC,2022-10-08,3210837,26852,10488084,0.0,0.0
NC,2022-10-09,3210837,26852,10488084,0.0,0.0
NC,2022-10-10,3210837,26852,10488084,0.0,0.0
NC,2022-10-11,3210837,26852,10488084,0.0,0.0
NC,2022-10-12,3220858,26885,10488084,10021.0,33.0
NC,2022-10-13,3220858,26885,10488084,0.0,0.0
NC,2022-10-14,3220858,26885,10488084,0.0,0.0
NC,2022-10-15,3220858,26885,10488084,0.0,0.0
NC,2022-10-16,3220858,26885,10488084,0.0,0.0
NC,2022-10-17,3220858,26885,10488084,0.0,0.0
NC,2022-10-18,3220858,26885,10488084,0.0,0.0
NC,2022-10-19,3220858,26885,10488084,0.0,0.0
NC,2022-10-20,3220858,26885,10488084,0.0,0.0
NC,2022-10-21,3220858,26885,10488084,0.0,0.0
NC,2022-10-22,3220858,26885,10488084,0.0,0.0
NC,2022-10-23,3220858,26885,10488084,0.0,0.0
NC,2022-10-24,3220858,26885,10488084,0.0,0.0
NC,2022-10-25,3220858,26885,10488084,0.0,0.0
NC,2022-10-26,3237440,26953,10488084,16582.0,68.0
NC,2022-10-27,3237440,26953,10488084,0.0,0.0
NC,2022-10-28,3237440,26953,10488084,0.0,0.0
NC,2022-10-29,3237440,26953,10488084,0.0,0.0
NC,2022-10-30,3237440,26953,10488084,0.0,0.0
NC,2022-10-31,3237440,26953,10488084,0.0,0.0
NC,2022-11-01,3237440,26953,10488084,0.0,0.0
NC,2022-11-02,3246175,27234,10488084,8735.0,281.0
NC,2022-11-03,3246175,27234,10488084,0.0,0.0
NC,2022-11-04,3246175,27234,10488084,0.0,0.0
NC,2022-11-05,3246175,27234,10488084,0.0,0.0
